Ordering Method,Preprocessing Time (s),Preprocessing Memory (MB),Query Time (s),Path Length,Query Memory (MB)
Offline Edge Difference,12.31936264038086,17.647631645202637,0.015634775161743164,24,17.674099922180176
Offline Shortcuts Added,12.237370491027832,17.691723823547363,0.0,24,17.7164888381958
Offline Edges Removed,12.572166204452515,18.65462017059326,0.015606164932250977,24,18.679354667663574
